# Sample --clocklog output for the gnuplot scripts (so the static plot
# demo runs without hardware). NOT synthetic: generated by replaying the
# real capture tests/fixtures/ubx_1425_3dfix.bin through --clocklog's
# logic. Shows tAcc settling from ~700 ns (no fix, untrusted) to ~10 ns
# once a 3D fix is acquired.
# iTOW_s,clkB_ns,clkD_nsps,tAcc_ns,fAcc_pss,fixType,numSV,valid,gap
577156.000,-293308,2,695,26993,0,0,0,0
577157.000,-293306,2,717,27420,0,0,0,0
577158.000,-293305,2,739,27847,0,0,0,0
577159.000,-293303,2,762,28273,0,0,0,0
577160.000,-293343,2,153,2875,3,12,1,0
577161.000,-293353,2,68,1395,3,12,1,0
577162.000,-293217,2,38,952,3,15,1,0
577163.000,-293196,2,32,670,3,16,1,0
577164.000,-293207,2,23,560,3,17,1,0
577165.000,-293219,2,20,468,3,18,1,0
577166.000,-293227,2,17,420,3,18,1,0
577167.000,-293232,2,16,390,3,19,1,0
577168.000,-293234,2,14,366,3,19,1,0
577169.000,-293237,2,13,350,3,19,1,0
577170.000,-293237,2,12,337,3,17,1,0
577171.000,-293236,2,12,359,3,17,1,0
577172.000,-293235,2,11,339,3,18,1,0
577173.000,-293234,2,11,329,3,17,1,0
577174.000,-293233,2,10,314,3,17,1,0
577175.000,-293233,2,10,326,3,15,1,0
577176.000,-293232,2,9,323,3,16,1,0
577177.000,-293231,2,9,328,3,15,1,0
577178.000,-293230,2,9,321,3,15,1,0
577179.000,-293228,2,9,324,3,14,1,0
577180.000,-293227,2,9,324,3,14,1,0
